1	6	6	2026-05-18 09:54:22.564046	2026-05-22	t	07:00:00	16:00:00	\N	Requesting for WFH	Approved	10	2026-05-18 09:55:14.758652	\N	\N
6	8	8	2026-05-18 22:48:34.302381	2026-05-23	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Cancelled	\N	2026-05-18 22:50:41.693541	\N	\N
7	8	8	2026-05-18 22:48:39.694139	2026-05-24	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Cancelled	\N	2026-05-18 22:50:45.385193	\N	\N
13	8	8	2026-05-18 22:49:17.421323	2026-05-30	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Cancelled	\N	2026-05-18 22:50:53.239768	\N	\N
14	8	8	2026-05-18 22:49:22.104155	2026-05-31	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Cancelled	\N	2026-05-18 22:50:57.98897	\N	\N
20	8	8	2026-05-18 22:50:14.76417	2026-06-06	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Cancelled	\N	2026-05-18 22:51:03.845763	\N	\N
21	8	8	2026-05-18 22:50:19.840423	2026-06-07	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Cancelled	\N	2026-05-18 22:51:08.502086	\N	\N
2	8	8	2026-05-18 22:46:36.398579	2026-05-19	t	07:00:00	16:00:00	\N	my shift is 7am to 4pm	Approved	12	2026-05-18 23:14:23.808206	\N	\N
3	8	8	2026-05-18 22:48:07.993661	2026-05-20	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	12	2026-05-18 23:14:26.299688	\N	\N
4	8	8	2026-05-18 22:48:20.185324	2026-05-21	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	12	2026-05-18 23:14:35.198391	\N	\N
5	8	8	2026-05-18 22:48:26.893392	2026-05-22	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	12	2026-05-18 23:14:37.685201	\N	\N
8	8	8	2026-05-18 22:48:46.500879	2026-05-25	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	12	2026-05-18 23:14:40.118871	\N	\N
9	8	8	2026-05-18 22:48:54.853996	2026-05-26	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	10	2026-05-19 02:03:46.36474	\N	\N
10	8	8	2026-05-18 22:49:00.993409	2026-05-27	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	10	2026-05-19 02:03:52.251583	\N	\N
11	8	8	2026-05-18 22:49:06.499223	2026-05-28	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	12	2026-05-19 06:49:19.909895	\N	\N
12	8	8	2026-05-18 22:49:12.075243	2026-05-29	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	12	2026-05-19 06:49:30.670121	\N	\N
15	8	8	2026-05-18 22:49:52.184303	2026-06-01	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	10	2026-05-19 16:09:34.86341	\N	\N
16	8	8	2026-05-18 22:49:56.78916	2026-06-02	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	10	2026-05-19 16:10:00.200917	\N	\N
17	8	8	2026-05-18 22:50:01.251296	2026-06-03	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	10	2026-05-19 16:10:06.386902	\N	\N
18	8	8	2026-05-18 22:50:05.48137	2026-06-04	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	10	2026-05-19 16:10:11.149834	\N	\N
19	8	8	2026-05-18 22:50:09.333878	2026-06-05	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	13	2026-05-20 03:24:43.472456	\N	\N
22	8	8	2026-05-18 22:50:23.94508	2026-06-08	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	13	2026-05-20 03:24:45.933397	\N	\N
23	8	8	2026-05-18 22:50:29.780793	2026-06-09	t	07:00:00	16:00:00	need to correct my shift to 7am to 4pm	need to correct my shift to 7am to 4pm	Approved	13	2026-05-20 03:24:50.323328	\N	\N
\.


