1	10	6	2026-05-13 03:17:51.307157	2026-05-11	2026-05-10 22:25:00	2026-05-13 10:30:00	Forgot to clock out	Approved	12	2026-05-13 03:20:54.006252	\N	\N
2	4	7	2026-05-13 09:38:47.35483	2026-05-08	2026-05-08 00:00:00	2026-05-08 08:04:00	Update needed. Also for testing	Approved	10	2026-05-13 09:44:29.853417	system was being tested - HF	\N
3	3	6	2026-05-15 17:49:21.809037	2026-05-08	2026-05-08 00:58:00	2026-05-08 10:31:00	Test 123	Approved	12	2026-05-15 17:49:46.321049	\N	\N
4	6	8	2026-05-18 03:57:13.868656	2026-05-08	2026-05-07 22:30:00	2026-05-08 08:02:00	correcting the time in	Approved	10	2026-05-18 07:10:32.531124	\N	\N
5	14	8	2026-05-18 03:58:06.565453	2026-05-12	2026-05-11 22:30:00	2026-05-13 08:00:00	correcting the clock in/clock out	Approved	10	2026-05-18 07:10:37.522848	\N	\N
6	44	8	2026-05-18 03:58:45.066627	2026-05-18	2026-05-17 22:30:00	\N	correcting the time in	Approved	10	2026-05-18 07:11:04.236972	make sure to time-in upon arrival please. Thanks	\N
7	48	8	2026-05-19 06:50:40.80804	2026-05-19	2026-05-18 22:30:00	\N	system error, was fixed after jero was in the office	Approved	10	2026-05-19 16:07:25.880301	thanks for the flag	\N
8	48	8	2026-05-19 22:52:12.559089	2026-05-19	2026-05-18 22:30:00	2026-05-19 10:30:00	forgot to clock out	Approved	13	2026-05-20 03:25:28.87013	[please be mindful with the timing out. Thank you	\N
9	52	11	2026-05-20 03:13:44.698411	2026-05-19	2026-05-19 01:40:00	2026-05-19 08:00:00	Only logged in after meeting because already clocked in with biometrics.	Approved	13	2026-05-20 03:26:07.33619	Onsite; and collecting data to refine the Attendance monitoring system. Thanks for the correction.	\N
10	17	11	2026-05-20 03:39:15.042761	2026-05-13	2026-05-12 23:00:00	2026-05-13 08:19:00	First time actually using the system. I thought we still use the greeting in group chat.	Approved	13	2026-05-20 03:42:44.081521	noted. thank you for helping out	\N
11	33	17	2026-05-20 08:43:16.008211	2026-05-15	2026-05-15 03:30:00	2026-05-15 12:30:00	Forgot to check-out	Approved	13	2026-05-20 08:48:25.715576	[please be mindful with the timing out. Thank you	\N
12	46	17	2026-05-20 08:44:36.119452	2026-05-18	2026-05-18 03:38:00	2026-05-18 12:38:00	Forgot to Check-out	Approved	13	2026-05-20 08:48:32.007767	\N	\N
13	27	17	2026-05-20 08:45:34.05177	2026-05-14	2026-05-14 03:39:00	2026-05-15 12:39:00	Forgot to check-out	Approved	13	2026-05-20 08:48:32.007767	\N	\N
14	21	17	2026-05-20 08:46:40.272422	2026-05-13	2026-05-13 03:30:00	2026-05-13 12:30:00	First time access	Approved	13	2026-05-20 08:48:32.007763	\N	\N
15	27	17	2026-05-20 08:56:03.760593	2026-05-14	2026-05-14 03:39:00	2026-05-14 12:39:00	Updated the date	Approved	13	2026-05-20 08:56:19.497789	[please be mindful with the timing out. Thank you	\N
